axes,label,type,color,text_loc_x,text_loc_y,arrow_end_x,arrow_end_y
c273_ax,c273r1,above,deeppink,300,2500,20,3400
c273_ax,c273r2,below,darkgreen,300,500,60,500
c274_ax,c274r1,above,deeppink,1.5,2500,60,2750
c274_ax,c274r3,below,darkgreen,1.5,500,60,200
c275_6_ax,c275r1,below,darkgreen,300,1500,400,200
c275_6_ax,c276r2,upstream,maroon,300,2500,120,1750
c275_6_ax,c276r4,below,darkgreen,1.5,500,120,200
c277_8_ax,c277r1,below,darkgreen,1.5,500,150,200
c277_8_ax,c278r2,upstream,maroon,1.5,2500,120,1750
c277_8_ax,c278r4,below,darkgreen,1.5,1500,150,400
c279_ax,c279r1,below,darkgreen,1.5,500,250,200
c279_ax,c279r2,above,deeppink,1.5,2500,150,1500
c280_ax,c280r1,above,deeppink,1.5,2500,20,1600
c280_ax,c280r2,below,darkgreen,1.5,1500,220,200
c280_ax,c280r3,above,deeppink,1.5,3500,30,2200
c280_ax,c280r4,below,darkgreen,1.5,500,70,200
c281_2_ax,c282r1,above,deeppink,1.5,2500,50,1700
c281_2_ax,c282r2,below,darkgreen,1.5,1500,100,300
c281_2_ax,c282r3,below,darkgreen,1.5,500,160,300
